Rank,Player,Wins,Losses,yElo
1,Jannik Sinner (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JannikSinner),7,0,2002.3
2,Tomas Machac (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMachac),12,3,1987.8
3,Denis Shapovalov (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DenisShapovalov),10,4,1970.1
4,Felix Auger Aliassime (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FelixAugerAliassime),15,4,1958.6
5,Jiri Lehecka (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JiriLehecka),10,3,1949.9
6,Gael Monfils (https://www.tennisabstract.com/cgi-bin/player.cgi?p=GaelMonfils),9,2,1946.9
7,Carlos Alcaraz (https://www.tennisabstract.com/cgi-bin/player.cgi?p=CarlosAlcaraz),10,2,1944.2
8,Jack Draper (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JackDraper),7,1,1918.4
9,Novak Djokovic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=NovakDjokovic),7,2,1913.4
10,Alejandro Davidovich Fokina (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroDavidovichFokina),12,6,1909.8
11,Stefanos Tsitsipas (https://www.tennisabstract.com/cgi-bin/player.cgi?p=StefanosTsitsipas),8,4,1909.8
12,Tommy Paul (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TommyPaul),10,3,1906.4
13,Alex De Minaur (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexDeMinaur),13,4,1901.2
14,Ugo Humbert (https://www.tennisabstract.com/cgi-bin/player.cgi?p=UgoHumbert),9,3,1899
15,Joao Fonseca (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JoaoFonseca),14,3,1888.5
16,Laslo Djere (https://www.tennisabstract.com/cgi-bin/player.cgi?p=LasloDjere),13,4,1887.6
17,Andrey Rublev (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AndreyRublev),8,5,1885.3
18,Casper Ruud (https://www.tennisabstract.com/cgi-bin/player.cgi?p=CasperRuud),9,2,1878.8
19,Yoshihito Nishioka (https://www.tennisabstract.com/cgi-bin/player.cgi?p=YoshihitoNishioka),9,3,1878.2
20,Learner Tien (https://www.tennisabstract.com/cgi-bin/player.cgi?p=LearnerTien),11,4,1874.2
21,Hamad Medjedovic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=HamadMedjedovic),12,3,1874.2
22,Alexander Zverev (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderZverev),11,4,1862.2
23,Miomir Kecmanovic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MiomirKecmanovic),11,6,1860.6
24,Tallon Griekspoor (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TallonGriekspoor),7,5,1855.5
25,Daniil Medvedev (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DaniilMedvedev),8,4,1831.2
26,Sebastian Baez (https://www.tennisabstract.com/cgi-bin/player.cgi?p=SebastianBaez),12,5,1829.1
27,Nishesh Basavareddy (https://www.tennisabstract.com/cgi-bin/player.cgi?p=NisheshBasavareddy),9,4,1826.8
28,Reilly Opelka (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ReillyOpelka),8,3,1819.1
29,Quentin Halys (https://www.tennisabstract.com/cgi-bin/player.cgi?p=QuentinHalys),8,4,1813.7
30,Brandon Holt (https://www.tennisabstract.com/cgi-bin/player.cgi?p=BrandonHolt),21,4,1813.5
31,Zizou Bergs (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ZizouBergs),13,6,1797.9
32,Matteo Berrettini (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MatteoBerrettini),5,5,1794.6
