Elo Rank,Player,Age,Elo,,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,,Peak Elo,Peak Month,,WTA Rank,Log diff
1,Aryna Sabalenka (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ArynaSabalenka),26.7,2150.1,,1,2095.9,2,2057.9,1,1948.2,,2197.5,2025-01,,1,0
2,Iga Swiatek (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=IgaSwiatek),23.7,2137.3,,2,2086.5,1,2083.6,3,1861.5,,2286.8,2024-07,,2,0
3,Coco Gauff (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CocoGauff),20.9,2084.6,,3,2045.2,4,1981,2,1864.7,,2150.3,2024-01,,3,0
4,Mirra Andreeva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MirraAndreeva),17.8,2049.1,,4,2006.2,5,1942.6,18,1751,,2049.1,2025-02,,11,-1.01
5,Qinwen Zheng (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=QinwenZheng),22.3,2017,,7,1955.4,3,1981.8,45,1673.2,,2095.1,2024-11,,9,-0.59
6,Elena Rybakina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaRybakina),25.6,2013.4,,5,1965.4,6,1898.6,4,1847.9,,2148.5,2024-04,,7,-0.15
7,Jessica Pegula (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaPegula),31,2001.1,,6,1958,12,1824.2,6,1802.7,,2088.6,2024-01,,4,0.56
8,Paula Badosa (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PaulaBadosa),27.2,1987.4,,9,1934.3,7,1881.2,7,1802.5,,2080.2,2022-01,,10,-0.22
9,Karolina Muchova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KarolinaMuchova),28.4,1982.7,,8,1946.9,10,1828.8,23,1735.7,,2021.8,2023-08,,15,-0.51
10,Emma Navarro (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaNavarro),23.7,1940,,11,1898.7,9,1835.4,10,1774.6,,1991.1,2024-08,,8,0.22
11,Jasmine Paolini (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JasminePaolini),29.1,1934.5,,14,1873.9,8,1857.2,17,1755.7,,1977.5,2024-07,,6,0.61
12,Madison Keys (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MadisonKeys),29.9,1934.4,,16,1865.3,15,1810.9,24,1734.7,,2087.8,2016-08,,5,0.88
13,Amanda Anisimova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AmandaAnisimova),23.4,1932.8,,10,1903.1,31,1756.2,33,1708.7,,2005.1,2022-08,,18,-0.33
14,Belinda Bencic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BelindaBencic),27.9,1928.5,,13,1883.5,21,1786.2,12,1768.4,,2119.5,2016-02,,58,-1.42
15,Linda Noskova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaNoskova),20.2,1910,,12,1884.1,44,1735.3,50,1659.7,,1930.1,2024-04,,31,-0.73
16,Elina Svitolina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaSvitolina),30.4,1902.2,,19,1850.4,16,1810.7,20,1749.8,,2109,2018-05,,23,-0.36
17,Clara Tauson (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ClaraTauson),22.1,1899.7,,15,1869.2,23,1783.3,76,1610.8,,1966,2022-01,,21,-0.21
18,Mccartney Kessler (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MccartneyKessler),25.6,1894.8,,17,1863.5,141,1566.3,38,1682.9,,1908.7,2025-02,,48,-0.98
19,Naomi Osaka (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NaomiOsaka),27.2,1891.5,,18,1852.6,43,1736,37,1684,,2195.3,2021-03,,56,-1.08
20,Yulia Putintseva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YuliaPutintseva),30.1,1889.6,,28,1823.9,14,1811,15,1764.2,,1926.4,2025-01,,20,0
21,Elise Mertens (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EliseMertens),29.2,1888.3,,21,1843.8,13,1814.4,32,1710.3,,2041.5,2021-04,,28,-0.29
22,Daria Kasatkina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaKasatkina),27.7,1887.6,,27,1826.7,11,1826.7,8,1788,,2041.1,2018-03,,12,0.61
23,Jelena Ostapenko (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JelenaOstapenko),27.6,1879.3,,24,1833.8,19,1793.1,5,1814.4,,2032.4,2022-02,,26,-0.12
24,Ons Jabeur (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OnsJabeur),30.4,1876.6,,31,1813.9,17,1798.4,13,1767.3,,2101.1,2022-06,,32,-0.29
25,Liudmila Samsonova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LiudmilaSamsonova),26.2,1874.7,,29,1818.9,34,1748.6,16,1755.9,,1985.2,2023-10,,25,0
26,Leylah Fernandez (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeylahFernandez),22.4,1873.9,,26,1829,42,1740.3,21,1737.9,,1971.3,2022-03,,27,-0.04
27,Marta Kostyuk (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MartaKostyuk),22.6,1872.7,,25,1832.6,25,1772.4,46,1672.6,,1986.4,2024-04,,24,0.12
28,Anastasia Pavlyuchenkova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPavlyuchenkova),33.6,1871.1,,20,1843.9,28,1768,52,1655.4,,2062.7,2011-05,,40,-0.36
29,Anna Kalinskaya (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaKalinskaya),26.2,1870.7,,23,1835.1,51,1718.7,26,1729.6,,1958.9,2024-02,,33,-0.13
30,Diana Shnaider (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DianaShnaider),20.8,1870.7,,32,1813.1,20,1790.4,14,1766,,1970.2,2024-08,,13,0.84
31,Ekaterina Alexandrova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EkaterinaAlexandrova),30.2,1868.8,,22,1837.7,59,1701.8,11,1772.3,,1970.2,2020-02,,19,0.49
32,Anastasia Potapova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPotapova),23.8,1860.5,,33,1813.1,22,1785.2,30,1716.9,,1913.6,2023-06,,34,-0.06
33,Emma Raducanu (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaRaducanu),22.2,1859.5,,35,1799.3,55,1708.9,25,1733.6,,2000.5,2021-08,,55,-0.51
34,Katie Boulter (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KatieBoulter),28.4,1851.7,,30,1815,104,1622,9,1777.2,,1886.3,2024-02,,38,-0.11
35,Ashlyn Krueger (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AshlynKrueger),20.7,1849.4,,34,1807.6,70,1682.3,47,1672,,1897.9,2025-02,,41,-0.16
36,Marketa Vondrousova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarketaVondrousova),25.6,1847.9,,39,1786.6,39,1744.5,42,1677.8,,2056.8,2019-05,,45,-0.22
37,Katerina Siniakova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KaterinaSiniakova),28.7,1844.2,,38,1792.8,40,1743.9,22,1737.6,,1935.9,2017-01,,59,-0.47
38,Donna Vekic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DonnaVekic),28.6,1839.3,,46,1769,26,1769.5,19,1750.3,,1946.5,2019-08,,22,0.55
39,Danielle Collins (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DanielleCollins),31,1838.2,,42,1778.5,18,1793.7,48,1669.1,,2066.1,2024-05,,14,1.02
40,Beatriz Haddad Maia (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BeatrizHaddadMaia),28.7,1826.5,,43,1771.9,27,1768.9,29,1721.2,,1928.1,2023-08,,17,0.86
41,Marie Bouzkova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarieBouzkova),26.4,1826.2,,41,1781.9,41,1740.7,51,1659.4,,1935.9,2022-10,,50,-0.2
42,Caroline Wozniacki (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CarolineWozniacki),34.1,1822.1,,45,1771.6,60,1700.3,34,1706.6,,2251.8,2011-04,,86,-0.72
43,Karolina Pliskova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KarolinaPliskova),32.4,1821.8,,36,1798.6,35,1748.6,28,1723.1,,2083.1,2019-07,,163,-1.33
