Rank,Player,Wins,Losses,yElo
1,Madison Keys (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MadisonKeys),13,1,2156.8
2,Mirra Andreeva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MirraAndreeva),13,3,2071
3,Clara Tauson (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ClaraTauson),14,3,2034.1
4,Iga Swiatek (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=IgaSwiatek),14,4,1987.9
5,Belinda Bencic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BelindaBencic),11,4,1957.6
6,Elena Rybakina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaRybakina),13,5,1954.4
7,Jessica Pegula (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaPegula),11,4,1952.4
8,Aryna Sabalenka (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ArynaSabalenka),12,3,1944.1
9,Amanda Anisimova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AmandaAnisimova),9,3,1926.7
10,Linda Noskova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaNoskova),9,6,1921.9
11,Mccartney Kessler (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MccartneyKessler),14,6,1918.4
12,Ekaterina Alexandrova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EkaterinaAlexandrova),9,5,1913
13,Elise Mertens (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EliseMertens),12,4,1906.3
14,Emma Navarro (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaNavarro),10,5,1903.9
15,Sofia Kenin (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SofiaKenin),10,6,1899.7
16,Paula Badosa (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PaulaBadosa),10,6,1881.7
17,Naomi Osaka (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NaomiOsaka),6,0,1872.4
18,Ons Jabeur (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OnsJabeur),11,6,1869.5
19,Coco Gauff (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CocoGauff),9,3,1863.7
20,Karolina Muchova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KarolinaMuchova),9,5,1860.3
21,Dayana Yastremska (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DayanaYastremska),10,6,1857
22,Veronika Kudermetova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VeronikaKudermetova),12,7,1838.2
23,Anastasia Potapova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPotapova),10,4,1834.9
24,Ashlyn Krueger (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AshlynKrueger),11,6,1834
25,Kimberly Birrell (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KimberlyBirrell),14,4,1816
26,Emiliana Arango (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmilianaArango),13,4,1814.3
27,Tatiana Prozorova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TatianaProzorova),12,1,1811.7
28,Leylah Fernandez (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeylahFernandez),9,6,1808.1
29,Elina Avanesyan (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaAvanesyan),9,7,1805.3
30,Jelena Ostapenko (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JelenaOstapenko),6,6,1802.1
31,Anastasia Pavlyuchenkova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPavlyuchenkova),5,3,1798.4
32,Jil Teichmann (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JilTeichmann),10,3,1795.4
