Rk	Player	M	RPW	RPW-InP	vAce%	vDF%	v1st%	v2nd%	Brk%	Pts/RG	PtsW/RG	MdOppRk	MnOppRk
1	Jannik Sinner [ITA]	46	41.9%	43.1%	7.1%	3.2%	32.1%	56.8%	29.7%	6.8	2.9	25.0	36.6
2	Alexander Zverev [GER]	44	37.9%	39.3%	7.8%	2.8%	29.2%	53.2%	23.1%	6.5	2.5	26.0	53.0
3	Carlos Alcaraz [ESP]	39	41.1%	41.3%	5.9%	3.7%	33.4%	53.9%	29.1%	6.8	2.8	35.0	62.3
4	Taylor Fritz [USA]	38	35.1%	36.4%	10.1%	3.7%	25.1%	51.2%	19.5%	6.2	2.2	25.0	47.2
5	Casper Ruud [NOR]	35	35.0%	37.2%	11.6%	3.4%	26.2%	50.1%	18.1%	6.2	2.2	48.0	70.7
6	Daniil Medvedev [RUS]	37	41.1%	41.2%	5.1%	3.4%	33.3%	54.3%	29.0%	6.8	2.8	36.0	56.7
7	Novak Djokovic [SRB]	20	39.3%	41.5%	10.6%	3.9%	29.9%	56.0%	25.2%	6.7	2.6	49.0	100.0
8	Andrey Rublev [RUS]	44	36.4%	38.6%	11.5%	3.6%	27.4%	50.6%	20.3%	6.5	2.4	50.0	57.5
9	Stefanos Tsitsipas [GRE]	31	32.9%	33.3%	7.6%	3.2%	26.0%	44.9%	15.7%	6.2	2.1	47.0	76.4
10	Alex De Minaur [AUS]	40	40.0%	40.6%	6.3%	3.3%	31.2%	52.8%	27.0%	6.5	2.6	45.0	73.9
11	Tommy Paul [USA]	32	40.7%	41.4%	6.3%	3.3%	33.2%	53.7%	29.0%	6.7	2.7	57.0	108.3
12	Ben Shelton [USA]	42	31.0%	31.0%	7.5%	3.4%	22.7%	44.8%	13.8%	6.2	1.9	52.0	79.0
13	Holger Rune [DEN]	38	35.2%	36.4%	9.5%	3.5%	26.5%	49.3%	19.3%	6.3	2.2	43.0	72.6
14	Jack Draper [GBR]	35	38.5%	39.6%	8.1%	3.6%	30.8%	51.2%	24.4%	6.5	2.5	27.0	38.3
15	Grigor Dimitrov [BUL]	34	36.7%	38.1%	9.9%	3.9%	27.7%	51.4%	20.5%	6.6	2.4	42.0	56.0
16	Lorenzo Musetti [ITA]	25	37.5%	37.5%	7.5%	4.5%	27.7%	53.8%	21.7%	6.8	2.5	49.5	64.2
17	Frances Tiafoe [USA]	36	35.5%	38.1%	14.2%	4.4%	25.7%	51.2%	18.4%	6.5	2.3	50.5	63.6
18	Felix Auger Aliassime [CAN]	37	36.6%	37.0%	7.3%	3.6%	29.5%	48.5%	19.7%	6.5	2.4	59.5	65.8
19	Ugo Humbert [FRA]	37	36.1%	37.4%	9.2%	3.4%	27.3%	50.4%	22.3%	6.2	2.2	43.0	62.0
20	Tomas Machac [CZE]	44	36.4%	37.8%	10.4%	4.1%	28.3%	49.2%	22.5%	6.2	2.3	48.5	79.6
21	Arthur Fils [FRA]	34	35.8%	37.2%	9.4%	3.3%	26.9%	50.8%	17.6%	6.6	2.4	51.5	70.8
22	Hubert Hurkacz [POL]	26	32.9%	33.9%	8.5%	3.0%	24.9%	46.5%	12.6%	6.3	2.1	37.5	46.2
23	Karen Khachanov [RUS]	36	37.0%	38.7%	9.7%	3.4%	26.6%	54.2%	22.6%	6.5	2.4	44.0	65.8
24	Jiri Lehecka [CZE]	41	34.0%	35.0%	8.9%	3.4%	26.1%	47.0%	18.0%	6.2	2.1	42.0	65.1
25	Sebastian Korda [USA]	20	35.4%	36.1%	9.2%	4.1%	27.7%	48.2%	19.2%	6.5	2.3	65.0	103.8
26	Francisco Cerundolo [ARG]	27	37.2%	37.7%	8.0%	4.0%	27.3%	52.9%	22.7%	6.5	2.4	58.0	67.8
27	Alexei Popyrin [AUS]	30	35.8%	35.7%	8.6%	4.9%	27.3%	48.9%	19.2%	6.3	2.3	34.5	49.8
28	Denis Shapovalov [CAN]	38	38.6%	38.5%	4.8%	3.2%	33.0%	49.8%	23.6%	6.6	2.6	47.5	70.2
29	Matteo Berrettini [ITA]	29	33.8%	34.6%	7.2%	2.6%	27.1%	45.4%	17.3%	6.4	2.1	44.0	64.5
30	Giovanni Mpetshi Perricard [FRA]	24	25.3%	25.6%	11.0%	3.4%	19.0%	35.7%	5.4%	6.0	1.5	44.0	85.6
31	Alejandro Tabilo [CHI]	23	34.1%	36.2%	12.3%	3.7%	25.8%	48.9%	14.8%	6.5	2.2	57.0	60.9
32	Alex Michelsen [USA]	47	37.6%	38.2%	7.7%	3.7%	29.8%	50.1%	23.5%	6.5	2.4	68.0	102.4
33	Brandon Nakashima [USA]	40	33.4%	34.5%	9.4%	3.3%	25.3%	45.9%	16.0%	6.3	2.1	48.5	85.0
34	Sebastian Baez [ARG]	14	35.2%	36.3%	9.9%	4.0%	25.8%	47.9%	18.0%	6.3	2.2	45.5	47.0
